Model,Threshold,Accuracy,Precision,Recall,Specificity,NegativePredictiveValue,F1Score,F2Score,ROCAUC,PRAUC,BrierScore,TrueNegatives,FalsePositives,FalseNegatives,TruePositives,PredictedPositiveRate
No-claim baseline,0.5,0.9497651231904899,0.0,0.0,1.0,0.9497651231904899,0.0,0.0,0.5,0.050234876809510116,0.047711333961504454,128791,0,6812,0,0.0
Logistic regression — threshold 0.50,0.5,0.9497724976586064,0.6,0.00044039929536112744,0.999984470964586,0.949785395064824,0.000880152559777028,0.000550398121307746,0.6401519411022987,0.0913119836745046,0.047011337618745944,128789,2,6809,3,3.687234058243549e-05
Logistic regression — selected threshold,0.050973081589714704,0.5731952832901926,0.071394997481954,0.6243394010569583,0.5704901740028419,0.9663435613483619,0.12813714561176223,0.24493768573337327,0.6401519411022987,0.0913119836745046,0.047011337618745944,73474,55317,2559,4253,0.43929706569913646
