Feature,Coefficient,RateRatio,AbsoluteCoefficient
numeric__BonusMalus,0.3508644801302012,1.4202948346982236,0.3508644801302012
categorical__Region_R83,-0.24416176222712424,0.7833609058084348,0.24416176222712424
categorical__Region_R41,-0.2312331459042273,0.7935544305006897,0.2312331459042273
categorical__Region_R21,0.22651337814535366,1.2542193888509567,0.22651337814535366
numeric__VehAge,-0.21357248705339088,0.8076936106986676,0.21357248705339088
categorical__VehBrand_B12,0.1580069040086064,1.1711742804770693,0.1580069040086064
categorical__Region_R74,0.14590682448864908,1.1570883707272863,0.14590682448864908
categorical__VehBrand_B14,-0.12228486488950761,0.884896256721038,0.12228486488950761
categorical__Area_D,0.10966980782547933,1.115909545020873,0.10966980782547933
categorical__Region_R73,-0.106092223676725,0.89934170365272,0.106092223676725
categorical__Area_E,0.09992744079580934,1.10509073066254,0.09992744079580934
categorical__Region_R53,0.09957223356278526,1.1046982641494594,0.09957223356278526
numeric__DrivAge,0.08854399098673645,1.0925823153274505,0.08854399098673645
categorical__Region_R31,-0.08683940225607976,0.9168243237285478,0.08683940225607976
categorical__VehBrand_B5,0.07917858062833055,1.0823976000554705,0.07917858062833055
categorical__Region_R24,0.06796311288431024,1.0703258265180025,0.06796311288431024
categorical__Region_R72,-0.06694696602293654,0.9352447997728236,0.06694696602293654
categorical__Region_R82,0.06462601441520795,1.0667599969123043,0.06462601441520795
categorical__Region_R22,0.06395295393344648,1.0660422444873507,0.06395295393344648
categorical__Region_R23,-0.06316391902819733,0.938789575601151,0.06316391902819733
categorical__VehBrand_B11,0.0607347550601428,1.0626170230153835,0.0607347550601428
categorical__Region_R25,0.05969950507978983,1.0615175179926597,0.05969950507978983
categorical__Region_R43,-0.058089620341072894,0.9435653809961491,0.058089620341072894
categorical__Region_R26,-0.05372071578592736,0.9476967462861868,0.05372071578592736
numeric__LogDensity,0.05023414812141404,1.0515172783487359,0.05023414812141404
categorical__Region_R94,0.048602087958306006,1.0498025385478007,0.048602087958306006
categorical__VehBrand_B4,-0.04741199968568133,0.953694394846514,0.04741199968568133
categorical__VehGas_'Regular',0.04551986254412873,1.0465717919859052,0.04551986254412873
categorical__VehBrand_B6,-0.04437589518394879,0.9565943106881538,0.04437589518394879
categorical__Area_C,0.03619945413521555,1.0368626324077692,0.03619945413521555
numeric__VehPower,0.028361866487364103,1.028767893696337,0.028361866487364103
categorical__Area_F,0.02670429961004679,1.0270640546150231,0.02670429961004679
categorical__VehBrand_B13,0.0266116491028458,1.0269689010175178,0.0266116491028458
categorical__Region_R52,-0.02603163649446047,0.9743042655496694,0.02603163649446047
categorical__Region_R42,-0.01781051372721602,0.982347156024979,0.01781051372721602
categorical__VehBrand_B2,-0.01571513871323862,0.9844076997627792,0.01571513871323862
categorical__Region_R91,-0.015612550023978026,0.9845086940387425,0.015612550023978026
categorical__VehBrand_B10,0.013326098391280954,1.0134152865769457,0.013326098391280954
categorical__VehBrand_B3,-0.006610550991911563,0.9934112506335917,0.006610550991911563
categorical__Region_R93,0.005530965964189126,1.005546289995643,0.005530965964189126
categorical__Region_R54,-0.0053693317305494115,0.9946450573662698,0.0053693317305494115
categorical__Area_B,0.002847080233597516,1.0028511370156068,0.002847080233597516
