Feature,Coefficient,SeverityRatio,AbsoluteCoefficient
categorical__Area_F,-0.9105014809364184,0.4023224164144027,0.9105014809364184
categorical__Area_E,-0.6883245093270397,0.5024171595143926,0.6883245093270397
categorical__VehBrand_B4,0.36647606827045065,1.442641875221975,0.36647606827045065
categorical__Region_R22,0.3532768488363949,1.4237252455553058,0.3532768488363949
categorical__Region_R43,0.3425052101075629,1.4084716919321265,0.3425052101075629
categorical__Region_R83,-0.32689171252809385,0.7211618315901023,0.32689171252809385
categorical__Area_B,0.2968499529544661,1.3456133789877442,0.2968499529544661
categorical__Area_C,-0.2869280938298196,0.75056569720147,0.2869280938298196
categorical__Area_D,-0.28667884012371747,0.7507528018004593,0.28667884012371747
categorical__Region_R21,-0.2824583857674661,0.7539280154422731,0.2824583857674661
categorical__VehBrand_B2,0.2791141589614368,1.3219582486365367,0.2791141589614368
categorical__Region_R42,-0.26618640229111057,0.7662962748061046,0.26618640229111057
categorical__VehBrand_B14,-0.26452996414183033,0.7675666490470533,0.26452996414183033
categorical__VehBrand_B10,0.2576376504975841,1.293869900558596,0.2576376504975841
numeric__LogDensity,0.2469409566704784,1.2801035289724494,0.2469409566704784
categorical__Region_R93,0.2372571587897105,1.2677670933111007,0.2372571587897105
categorical__Region_R25,0.22979063808717531,1.2583365346057291,0.22979063808717531
categorical__Region_R82,0.22469402163622268,1.251939591153218,0.22469402163622268
categorical__Region_R74,-0.21897860713382897,0.8033389036914586,0.21897860713382897
categorical__Region_R24,0.2080083369230285,1.2312234341210813,0.2080083369230285
categorical__VehBrand_B5,-0.1909263857726568,0.8261934055018373,0.1909263857726568
categorical__VehBrand_B13,0.18987123039920167,1.2090938930945179,0.18987123039920167
categorical__Region_R41,-0.18792739408017792,0.828674871749801,0.18792739408017792
categorical__Region_R54,-0.17800823366404533,0.8369355324143972,0.17800823366404533
categorical__VehBrand_B11,-0.17657195758069033,0.8381384665688987,0.17657195758069033
categorical__VehBrand_B6,-0.16698217400328524,0.8462146958231276,0.16698217400328524
categorical__Region_R73,-0.15861486897672833,0.8533249375985588,0.15861486897672833
categorical__VehBrand_B12,0.14969936039091558,1.1614850018361815,0.14969936039091558
categorical__VehGas_'Regular',0.1373668349898801,1.1472489223852245,0.1373668349898801
categorical__Region_R91,0.1305669183176119,1.1394741890379925,0.1305669183176119
numeric__BonusMalus,0.126560223470578,1.1349177978066196,0.126560223470578
categorical__Region_R52,-0.11953452217464143,0.8873333746125676,0.11953452217464143
numeric__VehPower,0.07228569298317092,1.0749624094160595,0.07228569298317092
numeric__VehAge,0.06364823777550868,1.0657174536774283,0.06364823777550868
categorical__Region_R53,0.052620664695879726,1.0540297385833803,0.052620664695879726
categorical__Region_R31,0.04869308089247825,1.049898067507249,0.04869308089247825
categorical__Region_R72,0.047613237074015706,1.0487649534722354,0.047613237074015706
numeric__DrivAge,-0.037480702696579306,0.9632130049550948,0.037480702696579306
categorical__VehBrand_B3,0.03597279794343573,1.0366276477034841,0.03597279794343573
categorical__Region_R26,-0.030237693147678525,0.9702148927069482,0.030237693147678525
categorical__Region_R94,0.024320890928123413,1.0246190561031314,0.024320890928123413
categorical__Region_R23,0.00773642588932874,1.007766429355388,0.00773642588932874
